2025-02-26 01:03:09.920 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:03:12.315 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:03:12.317 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:03:12.345 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:03:22.379 | ERROR    | core.vector_store.connection:ensure_connection:22 | Failed to connect to Milvus: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:03:22.379 | ERROR    | __main__:lifespan:32 | Failed to start application: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:03:22.379 | INFO     | __main__:lifespan:40 | Application shutdown complete
2025-02-26 01:11:19.164 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:11:21.007 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:11:21.007 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:11:21.024 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:11:31.067 | ERROR    | core.vector_store.connection:ensure_connection:22 | Failed to connect to Milvus: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:11:31.067 | ERROR    | __main__:lifespan:32 | Failed to start application: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:11:31.067 | INFO     | __main__:lifespan:40 | Application shutdown complete
2025-02-26 01:12:21.543 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:12:23.356 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:12:23.356 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:12:23.373 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:12:33.413 | ERROR    | core.vector_store.connection:ensure_connection:22 | Failed to connect to Milvus: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:12:33.413 | ERROR    | __main__:lifespan:32 | Failed to start application: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-02-26 01:12:33.413 | INFO     | __main__:lifespan:40 | Application shutdown complete
2025-02-26 01:17:50.821 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:17:52.874 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:17:52.874 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:17:52.899 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:17:53.013 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-02-26 01:19:34.033 | DEBUG    | apps.chat.routes:upload_attachments:271 | Uploading files to conversation 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-02-26 01:19:56.004 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:22:11.726 | INFO     | core.vector_store.manager:initialize_store:42 | Vector store initialized successfully
2025-02-26 01:22:18.916 | ERROR    | apps.rag.services:_generate_search_queries:337 | Search query generation error: '\n    "semantic_queries"'
2025-02-26 01:22:18.923 | DEBUG    | apps.rag.services:hybrid_search:233 | Generated search queries: {'semantic_queries': ['explain it'], 'keyword_terms': ['explain', 'it'], 'arabic_terms': [], 'filters': {}}
2025-02-26 01:22:19.542 | INFO     | apps.chat.routes:query_documents:431 | Successfully queried documents for conversation 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-02-26 01:28:48.385 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:28:48.387 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:28:48.433 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:28:48.655 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-02-26 01:30:04.059 | INFO     | apps.chat.routes:query_documents:400 | Processing query request: explain it for conversation: 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-02-26 01:30:04.084 | DEBUG    | apps.chat.routes:query_documents:426 | Initializing RAG service
2025-02-26 01:30:06.954 | ERROR    | core.vector_store.manager:_create_store:38 | Error creating vector store: 'Settings' object has no attribute 'get_embeddings'
2025-02-26 01:30:06.962 | ERROR    | core.vector_store.manager:initialize:27 | Failed to initialize vector store: 'Settings' object has no attribute 'get_embeddings'
2025-02-26 01:30:06.963 | ERROR    | apps.rag.services:query_documents:524 | Error in document query: 'Settings' object has no attribute 'get_embeddings'
2025-02-26 01:30:06.963 | ERROR    | apps.chat.routes:query_documents:442 | Error processing query: 'Settings' object has no attribute 'get_embeddings'
2025-02-26 01:30:06.968 | ERROR    | core.db:get_session:31 | Database session error: 500: {'error': 'query_failed', 'message': 'Query failed / فشل الاستعلام', 'code': 500, 'details': {'error': "'Settings' object has no attribute 'get_embeddings'"}, 'timestamp': '2025-02-25T20:30:06.963511'}
2025-02-26 01:33:43.626 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-02-26 01:33:43.628 | INFO     | __main__:lifespan:40 | Application shutdown complete
2025-02-26 01:33:59.822 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:33:59.824 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:33:59.858 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:34:00.037 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-02-26 01:35:19.360 | INFO     | apps.chat.routes:query_documents:400 | Processing query request: explain it for conversation: 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-02-26 01:35:19.388 | ERROR    | core.db:get_session:31 | Database session error: "'error'"
2025-02-26 01:35:19.391 | ERROR    | core.middleware:error_handler:11 | Unhandled error: "'error'"
2025-02-26 01:35:39.517 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-02-26 01:35:39.518 | INFO     | __main__:lifespan:40 | Application shutdown complete
2025-02-26 01:39:15.264 | INFO     | __main__:lifespan:18 | Starting up application...
2025-02-26 01:39:15.273 | INFO     | core.db:init_db:17 | Initializing database...
2025-02-26 01:39:15.284 | INFO     | core.db:init_db:21 | Database initialization completed successfully
2025-02-26 01:39:15.393 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
