2025-03-03 07:42:51.690 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: status_code: None, body: The client must be instantiated be either passing in token or setting CO_API_KEY
2025-03-03 07:44:08.564 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: [Errno 11001] getaddrinfo failed
2025-03-03 08:12:15.248 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: status_code: None, body: The client must be instantiated be either passing in token or setting CO_API_KEY
2025-03-03 08:14:01.295 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: status_code: None, body: The client must be instantiated be either passing in token or setting CO_API_KEY
2025-03-03 08:14:47.850 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: status_code: None, body: The client must be instantiated be either passing in token or setting CO_API_KEY
2025-03-03 08:15:15.108 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: status_code: None, body: The client must be instantiated be either passing in token or setting CO_API_KEY
2025-03-03 08:16:11.662 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-03-03 08:16:58.564 | ERROR    | apps.rag.services:__init__:52 | Failed to initialize RAGService: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-03-03 08:29:23.122 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-03 08:29:23.124 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-03 08:29:23.150 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-03 08:29:33.189 | ERROR    | core.vector_store.connection:ensure_connection:22 | Failed to connect to Milvus: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-03-03 08:29:33.190 | ERROR    | __main__:lifespan:33 | Failed to start application: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-03-03 08:29:33.190 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-03 08:38:17.640 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-03 08:38:17.642 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-03 08:38:17.664 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-03 08:38:17.764 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-03 08:39:24.679 | INFO     | apps.chat.routes:process_query:414 | Processing query request: explain it for conversation: 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-03-03 08:40:50.196 | INFO     | core.vector_store.manager:initialize:51 | Created new vector store for namespace 494087b1-bbfa-44af-a165-25b2ba152ad6
2025-03-03 08:40:52.232 | ERROR    | apps.rag.services:_generate_search_queries:398 | Error generating search queries: Error code: 401 - {'error': 'Unauthorized'}
2025-03-03 08:40:52.234 | ERROR    | apps.rag.services:hybrid_search:318 | Error in hybrid search: RAGService._get_default_queries() missing 1 required positional argument: 'is_arabic'
2025-03-03 08:41:14.583 | ERROR    | apps.test.routes:test_llm:116 | LLM test failed: Error code: 401 - {'error': 'Unauthorized'}
2025-03-03 08:44:49.407 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-03 08:44:49.423 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-03 08:44:49.464 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-03 08:44:49.691 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-03 08:47:23.757 | DEBUG    | apps.chat.routes:upload_attachments:275 | Uploading files to conversation d3425549-504e-49e0-918c-da08ac0407a7
2025-03-03 08:48:37.984 | INFO     | core.vector_store.manager:initialize:51 | Created new vector store for namespace default
2025-03-03 08:48:55.424 | INFO     | core.vector_store.manager:initialize:51 | Created new vector store for namespace d3425549-504e-49e0-918c-da08ac0407a7
2025-03-03 08:50:47.340 | INFO     | apps.chat.routes:process_query:414 | Processing query request: explain it for conversation: d3425549-504e-49e0-918c-da08ac0407a7
