2025-03-04 08:52:30.913 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 08:52:30.929 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 08:52:30.954 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 08:52:31.087 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 08:52:51.887 | ERROR    | apps.test.routes:test_llm:116 | LLM test failed: Connection error.
2025-03-04 08:53:22.282 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 08:53:22.288 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 08:53:44.449 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 08:53:44.457 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 08:53:44.473 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 08:53:44.590 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 09:13:36.757 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 09:13:36.758 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 09:20:30.559 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 09:20:30.559 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 09:20:30.583 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 09:20:30.738 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:22:24.718 | INFO     | apps.chat.routes:process_query:447 | Processing query request: explain the document for conversation: d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 09:24:04.142 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:24:04.174 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:24:04.243 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:24:09.907 | INFO     | apps.rag.services:initialize:73 | RAG service initialized successfully
2025-03-04 09:24:25.049 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:24:25.126 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:24:56.664 | WARNING  | apps.rag.services:_generate_search_queries:485 | Error generating search queries, falling back to basic expansion: 
2025-03-04 09:24:56.669 | ERROR    | apps.rag.services:hybrid_search:419 | Error in hybrid search: object list can't be used in 'await' expression
2025-03-04 09:25:23.029 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 09:25:23.179 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain all the documents attached to me in detail.'
2025-03-04 09:25:36.425 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
